Stimuli,Question,Choice1,Choice1 Type,Choice2,Choice2 Type,Choice3,Choice3 Type,Choice4,Choice4 Type,Correct Answer,Correct Position
presentation1R1,"When O equals to 54, what is the value of S?",43,Easy Distractor,74,Medium Distractor,93,Correct Answer,83,Hard Distractor,93,3
presentation1R2,"When O equals to 54, what is the value of S?",43,Easy Distractor,74,Medium Distractor,93,Correct Answer,83,Hard Distractor,93,3
presentation1R3,"When O equals to 54, what is the value of S?",43,Easy Distractor,74,Medium Distractor,93,Correct Answer,83,Hard Distractor,93,3
presentation2R1,Which 4 data points form the most appropriate cluster?,"2,     3,     6,     7",Easy Distractor,"1,     2,     4,     5",Hard Distractor,"3,     4,     5,     8",Medium Distractor,"2,     4,     5,     7",Correct Answer,"2,     4,     5,     7",4
presentation2R2,Which 4 data points form the most appropriate cluster?,"2,     3,     6,     7",Easy Distractor,"1,     2,     4,     5",Hard Distractor,"3,     4,     5,     8",Medium Distractor,"2,     4,     5,     7",Correct Answer,"2,     4,     5,     7",4
presentation2R3,Which 4 data points form the most appropriate cluster?,"2,     3,     6,     7",Easy Distractor,"1,     2,     4,     5",Hard Distractor,"3,     4,     5,     8",Medium Distractor,"2,     4,     5,     7",Correct Answer,"2,     4,     5,     7",4
presentation3R1,Which data point(s) is(are) outlier(s)?,1,Hard Distractor,"1,     8",Correct Answer,5,Medium Distractor,"2,     7",Easy Distractor,"1,     8",2
presentation3R2,Which data point(s) is(are) outlier(s)?,1,Hard Distractor,"1,     8",Correct Answer,5,Medium Distractor,"2,     7",Easy Distractor,"1,     8",2
presentation3R3,Which data point(s) is(are) outlier(s)?,1,Hard Distractor,"1,     8",Correct Answer,5,Medium Distractor,"2,     7",Easy Distractor,"1,     8",2
presentation4R1,Which data point(s) has(have) the most changes?,"4,     6",Easy Distractor,2,Medium Distractor,7,Hard Distractor,"1,     7",Correct Answer,"1,     7",4
presentation4R2,Which data point(s) has(have) the most changes?,"4,     6",Easy Distractor,2,Medium Distractor,7,Hard Distractor,"1,     7",Correct Answer,"1,     7",4
presentation4R3,Which data point(s) has(have) the most changes?,"4,     6",Easy Distractor,2,Medium Distractor,7,Hard Distractor,"1,     7",Correct Answer,"1,     7",4
